Scheme Name		Net Asset Value
		
		
		
		
		
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW		103.3413
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW		115.7552
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW		103.7544
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW		145.3527
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW		111.7726
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW		101.9851
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW		111.5533
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW		103.0704
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth		353.8657
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth		531.1999
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth		366.8012
		
		
		
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option		1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW		1038.7244
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option		2619.6787
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW		1035.8952
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW		1038.3574
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option		1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW		1038.6673
Axis Banking & PSU Debt Fund - Regular Plan - Growth option		2543.1181
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW		1035.7516
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW		1038.3313
		
		
		
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW		11.0563
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW		11.0659
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth		10.9897
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW		10.9897
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth		11.0659
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW		10.9824
		
		
		
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW		12.7874
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW		10.4759
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW		10.4549
BANDHAN Banking & PSU Debt Fund - Direct Growth		24.4498
BANDHAN Banking & PSU Debt Fund - Direct IDCW		12.8614
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW		10.4444
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW		10.9071
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW		11.7325
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW		10.8772
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW		10.6106
BANDHAN Banking & PSU Debt Fund - Regular Growth		23.7842
BANDHAN Banking & PSU Debt Fund - Regular IDCW		12.8434
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW		10.6877
